NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE,SAMPLE_COMMENTS,Marine::NMFS_DNA_ID,Marine::SPECIES_CODE,Marine::COMMON_NAME,Marine::SITE,Marine::STATE_M,Marine::COUNTY_M,Marine::LATITUDE_M,Marine::LONGITUDE_M,Marine::LOCATION_COMMENTS_M
R011796,R125,9A,A-080713-006,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,290,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011796,SATR,Kelp Rockfish,,,,36.56333333,-121.9597333,
R011797,R125,9B,A-080713-007,4143,NSF Rockfish Dispersal Project,Sebastes,miniatus,385,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011797,SMIN,Vermillion Rockifhs,,,,36.56333333,-121.9597333,
R011798,R125,9C,A-080713-008,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,330,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011798,SMEL,Black Rockfish,,,,36.56333333,-121.9597333,
R011799,R125,9D,A-080713-009,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,345,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011799,SMEL,Black Rockfish,,,,36.56331667,-121.9595833,
R011800,R125,9E,A-080713-010,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,300,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011800,SCHR,black and yellow rockfish,,,,36.56296667,-121.9596167,
R011801,R125,9F,A-080713-011,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,310,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011801,SATR,Kelp Rockfish,,,,36.56296667,-121.9596167,
R011802,R125,9G,A-080713-012,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,325,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011802,SMEL,Black Rockfish,,,,36.56295,-121.9595,
R011803,R125,9H,A-080713-013,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,325,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011803,SMEL,Black Rockfish,,,,36.56286667,-121.9593,
R011804,R125,10A,A-080713-014,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,310,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011804,SATR,Kelp Rockfish,,,,36.56305,-121.9592,
R011805,R125,10B,A-080713-015,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,330,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011805,SMEL,Black Rockfish,,,,36.56303333,-121.9591833,
R011806,R125,10C,A-080713-016,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,300,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011806,SCHR,black and yellow rockfish,,,,36.56303333,-121.9591667,
R011807,R125,10D,A-080713-017,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,280,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011807,SCHR,black and yellow rockfish,,,,36.56305,-121.9591667,
R011808,R125,10E,A-080713-018,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,270,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011808,SCHR,black and yellow rockfish,,,,36.56305,-121.9591833,
R011809,R125,10F,A-080713-019,4143,NSF Rockfish Dispersal Project,Ophiodon,elongatus,685,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,Lingcod,R011809,OELO,lingcod,,,,36.56075,-121.9567167,
R011810,R125,10G,A-080713-020,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,280,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011810,SATR,Kelp Rockfish,,,,36.56075,-121.9567167,
R011811,R125,10H,A-080713-021,4143,NSF Rockfish Dispersal Project,Sebastes,carnatus,270,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011811,SCAR,Gopher Rockfish,,,,36.56075,-121.9567167,
R011812,R125,11A,A-080713-022,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,290,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011812,SMEL,Black Rockfish,,,,36.56075,-121.9567167,
R011813,R125,11B,A-080813-001,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,345,,,,ADULT,,,08/08/2013,,DSW,08/19/2013,,,R011813,SATR,Kelp Rockfish,,,,36.54361667,-121.9366167,
